mp_id,first_name,last_name,club,x_mean,x_sd,x_lo90,x_hi90,rhat
347,Anna,Sobolak,KO,-0.9110145764766181,0.03792364106361672,-0.9749095036647343,-0.8509442464120357,1.0078515437656377
249,Czesław,Mroczek,KO,-0.9099480197044264,0.03880810805952593,-0.9761108498914336,-0.8481953211944809,1.0063937899107667
207,Stanisław,Lamczyk,KO,-0.904137213672767,0.03844576200133945,-0.9703252202462999,-0.844812685313729,1.004173172354361
170,Michał,Kołodziejczak,KO,-0.9016756536277628,0.03834333826164473,-0.966875444050744,-0.8395931064252452,1.0060794400603787
317,Jakub,Rutnicki,KO,-0.8875888125786765,0.036687913755415316,-0.9497492039143683,-0.8293427792802106,1.0099224449986461
262,Sławomir,Nitras,KO,-0.8848315556427273,0.036987400555940096,-0.946856306311547,-0.8265328180356804,1.0050319782222847
448,Witold,Zembaczyński,KO,-0.884768849799155,0.03682208564272585,-0.9467222304178979,-0.8263598727549992,1.00326842810818
499,Bożena,Borowiec,Lewica,-0.8752087566267194,0.11222067953302975,-1.0774421652768076,-0.712829743469682,1.0033885955994157
77,Magdalena,Filiks,KO,-0.8664396976518377,0.03738927557762398,-0.9305886166383476,-0.8067985373244302,1.0060782018373493
434,Bogusław,Wołoszański,KO,-0.8637319439103321,0.052545537908165546,-0.9555512855567738,-0.7834474190760029,1.0041225569601833
394,Małgorzata,Tracz,KO,-0.8630312674592536,0.03287446491423353,-0.9174013933362953,-0.8100413624425405,1.0045322494744797
319,Marek,Rząsa,KO,-0.8545641225078291,0.0328404213361473,-0.9099452334558953,-0.8017840559024122,1.007485567286029
108,Stanisław,Gorczyca,KO,-0.8420085175736339,0.03304791487913163,-0.8967328699103034,-0.7891777458310224,1.0099209979553974
59,Jacek,Czerniak,Lewica,-0.8331664424722088,0.030440956320272515,-0.8850324134430592,-0.7855217690976533,1.0033790066727506
198,Anita,Kucharska-Dziedzic,Lewica,-0.8293773845675266,0.02981119541501626,-0.8790911659277282,-0.7808597785174971,1.005635823612779
211,Aleksandra,Leo,Centrum,-0.8228169372494227,0.0335975519468954,-0.8793391514420926,-0.7687250976217587,1.0077469639835575
376,Ewa,Szymanowska,Centrum,-0.8217768710691126,0.031757205201465966,-0.8752798222211993,-0.7709575862303739,1.0083922454203929
171,Rafał,Komarewicz,Centrum,-0.8216635806336661,0.03322185116786142,-0.8781015319935617,-0.7684289208718152,1.007988680450432
389,Tadeusz,Tomaszewski,Lewica,-0.8076004326504335,0.02830610129905202,-0.8552199619456964,-0.7626669760738076,1.0080895166232446
339,Arkadiusz,Sikora,Lewica,-0.806960509629159,0.02905224388340132,-0.8558109089889693,-0.7600769446317349,1.004838345349129
128,Paulina,Hennig-Kloska,Centrum,-0.8053842251664846,0.030969520927115912,-0.8574996703657406,-0.7557164988202324,1.0032807499319325
472,Piotr,Kowal,Lewica,-0.8053238841759472,0.028517739039494113,-0.8535501096083783,-0.7601715423693635,1.0087030721603438
454,Jolanta,Zięba-Gzik,PSL-TD,-0.8041910760281082,0.02867529867412455,-0.8534544459768495,-0.7588985687185493,1.002994677568881
460,Anna,Żukowska,Lewica,-0.802528848682434,0.028098474625384864,-0.8502401528996062,-0.7585523131638072,1.0110480583207662
357,Franciszek,Sterczewski,KO,-0.8022078439128678,0.028945099696207562,-0.8504305965240204,-0.7559592280043519,1.0133576420588624
419,Dariusz,Wieczorek,Lewica,-0.7978481080914542,0.02703432706045718,-0.8426414247381124,-0.7549056454325981,1.0140745684378973
395,Tomasz,Trela,Lewica,-0.7954122240452602,0.026589887874138556,-0.8398410633233379,-0.7521041585979568,1.008626628033769
201,Marcin,Kulasek,Lewica,-0.7954020053358387,0.02694086108054217,-0.8408635232562667,-0.7527663372475286,1.0037761044827391
341,Marcin,Skonieczka,Centrum,-0.7951220276299695,0.02690897585787498,-0.8402101338802511,-0.7521594321827518,1.0018607889979012
286,Ryszard,Petru,Centrum,-0.7930647881362672,0.029529875278529648,-0.843033208007665,-0.7451288335740293,1.0054350048085903
23,Izabela,Bodnar,Centrum,-0.7924864380760055,0.028127277118803803,-0.8405651945006158,-0.7476816650506996,1.0029977252983193
354,Magdalena,Sroka,PSL-TD,-0.7913597498791751,0.02773414959880453,-0.8384529181126127,-0.7468606735627614,1.005184154751373
393,Stanisław,Tomczyszyn,PSL-TD,-0.7885331082083491,0.02676772446404084,-0.8336076316685521,-0.7453713304103516,1.0036957485925342
215,Łukasz,Litewka,Lewica,-0.7875234331460037,0.028685906831809434,-0.8362645735824478,-0.7421894719009811,1.006245257403264
164,Agnieszka,Kłopotek,PSL-TD,-0.785735722280912,0.027366777880479486,-0.8316388867814921,-0.741763658855046,1.0066302441801456
106,Adam,Gomoła,Polska2050,-0.7847749631786913,0.0268874526609228,-0.8299737773093828,-0.7419213895844173,1.008498865986655
138,Klaudia,Jachira,KO,-0.7842922566982903,0.026851383340758213,-0.8297546809673041,-0.7425619385000691,1.0032766921086995
364,Wiesław,Szczepański,Lewica,-0.7830884300947981,0.025473190632795985,-0.8259659935605255,-0.7422530545741155,1.0053535040820656
159,Henryk,Kiepura,PSL-TD,-0.7829232265791195,0.02688013368070175,-0.8283847632724529,-0.7395019838586742,1.0062510951010322
13,Władysław,Bartoszewski,PSL-TD,-0.7802877039776445,0.026331530547284075,-0.8249867120548148,-0.7383064926772706,1.0037548210866438
158,Rafał,Kasprzyk,Centrum,-0.7799287092438603,0.02609605405296776,-0.8235260652126989,-0.7373391674621862,1.0039533239673162
177,Katarzyna,Kotula,Lewica,-0.7758491108540848,0.02613353324746792,-0.8199738137121058,-0.7342879196512454,1.0085927373786767
90,Krzysztof,Gawkowski,Lewica,-0.7747556292589877,0.026339268692131372,-0.8193130436145369,-0.732821856016068,1.0122640689502893
266,Wanda,Nowicka,Lewica,-0.7744108296353892,0.027131606570675336,-0.8199325450375521,-0.7304805992614963,1.0109608256196012
359,Mirosław,Suchoń,Centrum,-0.7730221860262061,0.02628738032209621,-0.817281761450768,-0.7309085965001295,1.003315591936521
53,Żaneta,Cwalina-Śliwowska,Centrum,-0.7725264581817163,0.025064842375170107,-0.8144650688375273,-0.7320949777351813,1.0051260370360826
450,Zbigniew,Ziejewski,PSL-TD,-0.7717062045611335,0.027067594642195783,-0.8172317572717295,-0.728099723012313,1.0017599804357582
